what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1364562816563
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1364562816575
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1364562818378
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1364562819686
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1364562829076
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1364562839229
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1364562842028
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1364562844036
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1364562844048
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1364562847363
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1364562870627
opened,editor,org.eclipse.jst.jsp.ui,1.1.503.v201101262228,"org.eclipse.jst.jsp.core.jspsource.source",1364562880866
activated,editor,org.eclipse.jst.jsp.ui,1.1.503.v201101262228,"org.eclipse.jst.jsp.core.jspsource.source",1364562880980
activated,editor,org.eclipse.jst.jsp.ui,1.1.503.v201101262228,"org.eclipse.jst.jsp.core.jspsource.source",1364562889595
closed,editor,org.eclipse.jst.jsp.ui,1.1.503.v201101262228,"org.eclipse.jst.jsp.core.jspsource.source",1364562889595
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1364562896296
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1364562898395
executed,command,org.eclipse.wst.server.ui,1.1.207.v20110119,"org.eclipse.wst.server.launchShortcut.run",1364562898427
opened,editor,org.eclipse.ui.browser,3.3.1.r36_20101216,"org.eclipse.ui.browser.editor",1364562901644
activated,editor,org.eclipse.ui.browser,3.3.1.r36_20101216,"org.eclipse.ui.browser.editor",1364562903149
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1364562904658
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1364562913504
activated,editor,org.eclipse.jst.jsp.ui,1.1.503.v201101262228,"org.eclipse.jst.jsp.core.jspsource.source",1364562979160
closed,editor,org.eclipse.ui.browser,3.3.1.r36_20101216,"org.eclipse.ui.browser.editor",1364562979160
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1364562981191
activated,editor,org.eclipse.jst.jsp.ui,1.1.503.v201101262228,"org.eclipse.jst.jsp.core.jspsource.source",1364562983252
closed,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1364562983252
closed,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1364562986109
closed,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1364562987735
closed,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1364562990173
activated,view,org.eclipse.ui.navigator.resources,3.4.202.M20101124-0800,"org.eclipse.ui.navigator.ProjectExplorer",1364562993467
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1364563000949
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1364563032095
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1364563062629
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1364563064302
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1364563065497
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1364563076132
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1364563078401
activated,editor,org.eclipse.jst.jsp.ui,1.1.503.v201101262228,"org.eclipse.jst.jsp.core.jspsource.source",1364563080667
activated,view,org.eclipse.ui.navigator.resources,3.4.202.M20101124-0800,"org.eclipse.ui.navigator.ProjectExplorer",1364563082355
opened,editor,org.eclipse.jst.jsp.ui,1.1.503.v201101262228,"org.eclipse.jst.jsp.core.jspsource.source",1364563083137
activated,editor,org.eclipse.jst.jsp.ui,1.1.503.v201101262228,"org.eclipse.jst.jsp.core.jspsource.source",1364563083192
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1364563086743
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1364563088434
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1364563088633
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1364563090369
executed,command,org.eclipse.wst.server.ui,1.1.207.v20110119,"org.eclipse.wst.server.launchShortcut.run",1364563090469
error,log,,,"Server Tomcat v6.0 Server at localhost was unable to start within 45 seconds. If the server requires more time, try increasing the timeout in the server editor.",1364563139123
opened,editor,org.eclipse.ui.browser,3.3.1.r36_20101216,"org.eclipse.ui.browser.editor",1364563139309
activated,editor,org.eclipse.ui.browser,3.3.1.r36_20101216,"org.eclipse.ui.browser.editor",1364563139489
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1364563140220
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1364563199365
activated,editor,org.eclipse.jst.jsp.ui,1.1.503.v201101262228,"org.eclipse.jst.jsp.core.jspsource.source",1364563201768
closed,editor,org.eclipse.ui.browser,3.3.1.r36_20101216,"org.eclipse.ui.browser.editor",1364563201768
